Name	Frequency	Approximate Number	Rank
CHARLES	0.006	9,109	1254
ZENAIDA	0.006	9,109	1255
HARRIETTE	0.006	9,109	1256
CARIDAD	0.006	9,109	1257
VADA	0.006	9,109	1258
UNA	0.006	9,109	1259
ARETHA	0.006	9,109	1260
PEARLINE	0.006	9,109	1261
MARJORY	0.006	9,109	1262
MARCELA	0.006	9,109	1263
FLOR	0.006	9,109	1264
EVETTE	0.006	9,109	1265
ELOUISE	0.006	9,109	1266
ALINA	0.006	9,109	1267
TRINIDAD	0.006	9,109	1268
DAVID	0.006	9,109	1269
DAMARIS	0.006	9,109	1270
CATHARINE	0.006	9,109	1271
CARROLL	0.006	9,109	1272
BELVA	0.006	9,109	1273
NAKIA	0.005	7,590	1274
MARLENA	0.005	7,590	1275
LUANNE	0.005	7,590	1276
LORINE	0.005	7,590	1277
KARON	0.005	7,590	1278
DORENE	0.005	7,590	1279
DANITA	0.005	7,590	1280
BRENNA	0.005	7,590	1281
TATIANA	0.005	7,590	1282
SAMMIE	0.005	7,590	1283
LOUANN	0.005	7,590	1284
LOREN	0.005	7,590	1285
JULIANNA	0.005	7,590	1286
